Date;Price;Open;High;Low;Vol.;Change;Vol
Apr072020;7185.2;7332.3;7440.3;7101.7;1.32;-0.0201;1320000
Apr062020;7332.3;6772.8;7335;6770.1;1.53;0.0826;1530000
Apr052020;6772.7;6857.5;6889.4;6686;842.33;-0.0123;842330
Apr042020;6857.4;6735.9;6958.6;6679.1;1.05;0.018;1050000
Apr032020;6735.9;6799.9;7026.3;6623.6;1.35;-0.0095;1350000
Apr022020;6800.5;6638.8;7182.7;6567.9;1.74;0.0244;1740000
Apr012020;6638.5;6412.4;6661.3;6157.4;1.4;0.0352;1400000
Mar312020;6412.5;6391.1;6513.1;6346.3;1.05;0.0034;1050000
Mar302020;6391;5890.4;6576.5;5872.5;1.43;0.085;1430000
Mar292020;5890.4;6233.2;6258.8;5889.3;916.17;-0.0551;916170
Mar282020;6233.7;6373.4;6374.3;6046.5;1.26;-0.0219;1260000
Mar272020;6373.4;6725.5;6813.7;6322.3;1.16;-0.0523;1160000
Mar262020;6725.1;6677.9;6772.9;6541.7;1.18;0.0069;1180000
Mar252020;6678.9;6744.8;6930.2;6474.6;1.52;-0.0097;1520000
Mar242020;6744.6;6468.8;6814.2;6380.8;1.73;0.0426;1730000
Mar232020;6468.9;5822;6564.7;5710.8;1.88;0.1111;1880000
Mar222020;5822.1;6186.9;6394.4;5771.2;1.48;-0.0589;1480000
Mar212020;6186.2;6205.6;6438.3;5887;1.64;-0.0031;1640000
Mar202020;6205.3;6171.6;6858.1;5748.2;2.22;0.0054;2220000
Mar192020;6172;5359.2;6379.5;5256;2.18;0.1512;2180000
Mar182020;5361.4;5260.7;5373.1;5020.9;1.8;0.0191;1800000
Mar172020;5261.1;5030.2;5432.8;4946.5;1.89;0.0459;1890000
Mar162020;5030;5366.4;5369.3;4477.7;2.55;-0.0627;2550000
Mar152020;5366.3;5182.9;5863.3;5120.6;1.61;0.0354;1610000
Mar142020;5182.7;5589.4;5634.9;5072.2;1.69;-0.0719;1690000
Mar132020;5584.3;4815.2;5934.3;3869.5;4.17;0.1571;4170000
Mar122020;4826;7935.2;7963.1;4546.6;3.22;-0.3918;3220000
Mar112020;7935.1;7892.1;7976.5;7606;1.1;0.0056;1100000
Mar102020;7891.2;7933;8145.5;7740.2;1.2;-0.0053;1200000
Mar092020;7933;8035.8;8158.8;7648.7;1.54;-0.0126;1540000
Mar082020;8034.1;8887.8;8888;8015.3;1.11;-0.0961;1110000
Mar072020;8887.8;9134.2;9180.8;8848.7;750.65;-0.027;750650
Mar062020;9134.8;9060.6;9165.2;9004.9;1.04;0.0082;1040000
Mar052020;9060.3;8757.9;9147.3;8751.5;950.76;0.0345;950760
Mar042020;8757.9;8761.3;8840.3;8679.7;759.69;-0.0004;759690
Mar032020;8761.4;8906.1;8911.7;8669.3;1.01;-0.0161;1010000
Mar022020;8904.8;8537.5;8961.8;8503.1;1.02;0.0427;1020000
Mar012020;8540;8543.8;8737.2;8437.2;784.05;-0.0004;784050
Feb292020;8543.7;8697.1;8793.7;8539.8;683.44;-0.0177;683440
Feb282020;8697.5;8820.1;8898.7;8451.9;1.08;-0.0137;1080000
Feb272020;8818.6;8800.1;8968.3;8538.5;1.13;0.0021;1130000
Feb262020;8800.3;9317.1;9368.1;8672;1.32;-0.0555;1320000
Feb252020;9317.2;9662.6;9672.3;9269.8;937.97;-0.0357;937970
Feb242020;9662.7;9943.2;9981;9507;980;-0.0282;980000
Feb232020;9942.7;9655.6;9965.6;9653.4;775.88;0.0297;775880
